timestamp,angle,cir_left,cir_right,diff
1758195092870,0.4382019,1.5884657E-4,0.0018090846,-0.001650238
1758195092894,0.4326172,1.5884657E-4,0.0018090846,-0.001650238
1758195092899,0.4326172,1.9589553E-4,0.0018737898,-0.0016778943
1758195092922,0.42739868,1.9589553E-4,0.0018737898,-0.0016778943
1758195092956,0.42739868,1.8465596E-4,0.0018912213,-0.0017065653
1758195092960,0.4236145,1.8465596E-4,0.0018912213,-0.0017065653
1758195092975,0.42141724,1.8465596E-4,0.0018912213,-0.0017065653
1758195092976,0.42141724,1.9154759E-4,0.0018386202,-0.0016470726
1758195092989,0.41537476,1.9154759E-4,0.0018386202,-0.0016470726
1758195093010,0.42977905,1.9154759E-4,0.0018386202,-0.0016470726
1758195093019,0.42977905,1.8601186E-4,0.0019077084,-0.0017216965
1758195093041,0.41131592,1.8601186E-4,0.0019077084,-0.0017216965
1758195093049,0.4312744,1.8601186E-4,0.0019077084,-0.0017216965
1758195093060,0.4312744,1.8709182E-4,0.0018741006,-0.0016870089
1758195093070,0.4237671,1.8709182E-4,0.0018741006,-0.0016870089
1758195093104,0.4211731,1.8709182E-4,0.0018741006,-0.0016870089
1758195093108,0.4211731,1.7004099E-4,0.0018910083,-0.0017209674
1758195093109,0.40597534,1.7004099E-4,0.0018910083,-0.0017209674
1758195093129,0.3940735,1.7004099E-4,0.0018910083,-0.0017209674
1758195093139,0.3940735,1.8471427E-4,0.0018831195,-0.0016984052
1758195093153,0.37893677,1.8471427E-4,0.0018831195,-0.0016984052
1758195093176,0.39328003,1.8471427E-4,0.0018831195,-0.0016984052
1758195093185,0.39328003,1.6726454E-4,0.0018357278,-0.0016684632
1758195093202,0.38278198,1.6726454E-4,0.0018357278,-0.0016684632
1758195093209,0.33084106,1.6726454E-4,0.0018357278,-0.0016684632
1758195093221,0.33084106,1.6041222E-4,0.001907246,-0.0017468338
1758195093237,0.3400879,1.6041222E-4,0.001907246,-0.0017468338
1758195093272,0.3400879,1.6559256E-4,0.0019373902,-0.0017717977
1758195093282,0.34378052,1.6559256E-4,0.0019373902,-0.0017717977
1758195093296,0.32199097,1.6559256E-4,0.0019373902,-0.0017717977
1758195093300,0.32199097,1.7254669E-4,0.0019182368,-0.0017456901
1758195093314,0.283844,1.7254669E-4,0.0019182368,-0.0017456901
1758195093337,0.18963623,1.7254669E-4,0.0019182368,-0.0017456901
1758195093339,0.18963623,1.4707704E-4,0.0019335,-0.001786423
1758195093367,0.10357666,1.4707704E-4,0.0019335,-0.001786423
1758195093369,-0.0025939941,1.4707704E-4,0.0019335,-0.001786423
1758195093401,-0.0025939941,1.802506E-4,0.0019076569,-0.0017274063
1758195093412,-0.1222229,1.802506E-4,0.0019076569,-0.0017274063
1758195093427,-0.2515564,1.802506E-4,0.0019076569,-0.0017274063
1758195093440,-0.2515564,1.8008339E-4,0.0018728678,-0.0016927845
1758195093451,-0.57232666,1.8008339E-4,0.0018728678,-0.0016927845
1758195093452,-0.57232666,1.8008339E-4,0.0018728678,-0.0016927845
1758195093472,-0.57232666,1.549566E-4,0.0018137306,-0.001658774
1758195093483,-0.7801819,1.549566E-4,0.0018137306,-0.001658774
1758195093494,-1.0903015,1.549566E-4,0.0018137306,-0.001658774
1758195093512,-1.0903015,1.849656E-4,0.001856457,-0.0016714914
1758195093522,-1.3687744,1.849656E-4,0.001856457,-0.0016714914
1758195093546,-1.6075745,1.849656E-4,0.001856457,-0.0016714914
1758195093547,-1.6075745,1.663261E-4,0.0018535694,-0.0016872433
1758195093549,-1.8251343,1.663261E-4,0.0018535694,-0.0016872433
1758195093576,-2.1397705,1.663261E-4,0.0018535694,-0.0016872433
1758195093599,-2.1397705,1.8944753E-4,0.0018226014,-0.0016331539
1758195093600,-2.5265503,1.8944753E-4,0.0018226014,-0.0016331539
1758195093632,-2.5265503,2.2326515E-4,0.0018525213,-0.0016292562
1758195093641,-3.5166016,2.2326515E-4,0.0018525213,-0.0016292562
1758195093655,-3.9005432,2.2326515E-4,0.0018525213,-0.0016292562
1758195093659,-3.9005432,1.6151372E-4,0.0017959144,-0.0016344007
1758195093683,-4.385193,1.6151372E-4,0.0017959144,-0.0016344007
1758195093714,-4.385193,1.7165803E-4,0.0018168204,-0.0016451624
1758195093725,-5.6196594,1.7165803E-4,0.0018168204,-0.0016451624
1758195093739,-6.2082825,1.7165803E-4,0.0018168204,-0.0016451624
1758195093740,-6.2082825,2.5520156E-4,0.0017811261,-0.0015259245
1758195093767,-6.730591,2.5520156E-4,0.0017811261,-0.0015259245
1758195093769,-7.1929016,2.5520156E-4,0.0017811261,-0.0015259245
1758195093789,-7.1929016,2.6319828E-4,0.0017770856,-0.0015138873
1758195093800,-7.713043,2.6319828E-4,0.0017770856,-0.0015138873
1758195093811,-8.331024,2.6319828E-4,0.0017770856,-0.0015138873
1758195093829,-8.331024,2.73038E-4,0.0017788643,-0.0015058264
1758195093840,-9.040009,2.73038E-4,0.0017788643,-0.0015058264
1758195093864,-9.645477,2.73038E-4,0.0017788643,-0.0015058264
1758195093865,-9.645477,2.4030145E-4,0.0018248786,-0.0015845771
1758195093869,-10.156647,2.4030145E-4,0.0018248786,-0.0015845771
1758195093894,-10.59256,2.4030145E-4,0.0018248786,-0.0015845771
1758195093913,-10.59256,2.5298845E-4,0.0017934603,-0.0015404719
1758195093913,-11.164795,2.5298845E-4,0.0017934603,-0.0015404719
1758195093942,-11.758331,2.5298845E-4,0.0017934603,-0.0015404719
1758195093944,-11.758331,3.223504E-4,0.0016802351,-0.0013578847
1758195093970,-13.473236,3.223504E-4,0.0016802351,-0.0013578847
1758195093982,-13.473236,3.223504E-4,0.0016802351,-0.0013578847
1758195093993,-13.473236,4.1150014E-4,0.0016398302,-0.0012283301
1758195093995,-14.361481,4.1150014E-4,0.0016398302,-0.0012283301
1758195094013,-15.093292,4.1150014E-4,0.0016398302,-0.0012283301
1758195094016,-15.093292,3.8916108E-4,0.0016575797,-0.0012684186
1758195094032,-15.7187195,3.8916108E-4,0.0016575797,-0.0012684186
1758195094065,-15.7187195,3.0277116E-4,0.0016863802,-0.0013836091
1758195094075,-16.294464,3.0277116E-4,0.0016863802,-0.0013836091
1758195094090,-17.888824,3.0277116E-4,0.0016863802,-0.0013836091
1758195094091,-17.888824,3.0277116E-4,0.0016863802,-0.0013836091
1758195094102,-17.888824,4.453665E-4,0.0017472628,-0.0013018963
1758195094112,-18.711792,4.453665E-4,0.0017472628,-0.0013018963
